school,roomName,seatName,devSn
大学城校区,402书库,402-064,101268034
大学城校区,402书库,402-072,101268042
大学城校区,402书库,402-057,101268027
大学城校区,402书库,402-065,101268035
大学城校区,402书库,402-073,101268043
大学城校区,402书库,402-058,101268028
大学城校区,402书库,402-066,101268036
大学城校区,402书库,402-074,101268044
大学城校区,402书库,402-059,101268029
大学城校区,402书库,402-067,101268037
大学城校区,402书库,402-075,101268045
大学城校区,402书库,402-060,101268030
大学城校区,402书库,402-068,101268038
大学城校区,402书库,402-076,101268046
大学城校区,402书库,402-061,101268031
大学城校区,402书库,402-069,101268039
大学城校区,402书库,402-062,101268032
大学城校区,402书库,402-070,101268040
大学城校区,402书库,402-063,101268033
大学城校区,402书库,402-071,101268041
大学城校区,402书库,402-008,100587630
大学城校区,402书库,402-016,100587638
大学城校区,402书库,402-024,100587646
大学城校区,402书库,402-032,100587654
大学城校区,402书库,402-040,100587662
大学城校区,402书库,402-048,100587670
大学城校区,402书库,402-056,100587678
大学城校区,402书库,402-001,100587623
大学城校区,402书库,402-009,100587631
大学城校区,402书库,402-017,100587639
大学城校区,402书库,402-025,100587647
大学城校区,402书库,402-033,100587655
大学城校区,402书库,402-041,100587663
大学城校区,402书库,402-049,100587671
大学城校区,402书库,402-002,100587624
大学城校区,402书库,402-010,100587632
大学城校区,402书库,402-018,100587640
大学城校区,402书库,402-026,100587648
大学城校区,402书库,402-034,100587656
大学城校区,402书库,402-042,100587664
大学城校区,402书库,402-050,100587672
大学城校区,402书库,402-003,100587625
大学城校区,402书库,402-011,100587633
大学城校区,402书库,402-019,100587641
大学城校区,402书库,402-027,100587649
大学城校区,402书库,402-035,100587657
大学城校区,402书库,402-043,100587665
大学城校区,402书库,402-051,100587673
大学城校区,402书库,402-004,100587626
大学城校区,402书库,402-012,100587634
大学城校区,402书库,402-020,100587642
大学城校区,402书库,402-028,100587650
大学城校区,402书库,402-036,100587658
大学城校区,402书库,402-044,100587666
大学城校区,402书库,402-052,100587674
大学城校区,402书库,402-005,100587627
大学城校区,402书库,402-013,100587635
大学城校区,402书库,402-021,100587643
大学城校区,402书库,402-029,100587651
大学城校区,402书库,402-037,100587659
大学城校区,402书库,402-045,100587667
大学城校区,402书库,402-053,100587675
大学城校区,402书库,402-006,100587628
大学城校区,402书库,402-014,100587636
大学城校区,402书库,402-022,100587644
大学城校区,402书库,402-030,100587652
大学城校区,402书库,402-038,100587660
大学城校区,402书库,402-046,100587668
大学城校区,402书库,402-054,100587676
大学城校区,402书库,402-007,100587629
大学城校区,402书库,402-015,100587637
大学城校区,402书库,402-023,100587645
大学城校区,402书库,402-031,100587653
大学城校区,402书库,402-039,100587661
大学城校区,402书库,402-047,100587669
大学城校区,402书库,402-055,100587677
