school,roomName,seatName,devSn
大学城校区,406书库,406-008,100587686
大学城校区,406书库,406-016,100587694
大学城校区,406书库,406-024,100587702
大学城校区,406书库,406-032,100587710
大学城校区,406书库,406-040,100587718
大学城校区,406书库,406-001,100587679
大学城校区,406书库,406-009,100587687
大学城校区,406书库,406-017,100587695
大学城校区,406书库,406-025,100587703
大学城校区,406书库,406-033,100587711
大学城校区,406书库,406-041,100587719
大学城校区,406书库,406-002,100587680
大学城校区,406书库,406-010,100587688
大学城校区,406书库,406-018,100587696
大学城校区,406书库,406-026,100587704
大学城校区,406书库,406-034,100587712
大学城校区,406书库,406-042,100587720
大学城校区,406书库,406-003,100587681
大学城校区,406书库,406-011,100587689
大学城校区,406书库,406-019,100587697
大学城校区,406书库,406-027,100587705
大学城校区,406书库,406-035,100587713
大学城校区,406书库,406-043,100587721
大学城校区,406书库,406-004,100587682
大学城校区,406书库,406-012,100587690
大学城校区,406书库,406-020,100587698
大学城校区,406书库,406-028,100587706
大学城校区,406书库,406-036,100587714
大学城校区,406书库,406-044,100587722
大学城校区,406书库,406-005,100587683
大学城校区,406书库,406-013,100587691
大学城校区,406书库,406-021,100587699
大学城校区,406书库,406-029,100587707
大学城校区,406书库,406-037,100587715
大学城校区,406书库,406-006,100587684
大学城校区,406书库,406-014,100587692
大学城校区,406书库,406-022,100587700
大学城校区,406书库,406-030,100587708
大学城校区,406书库,406-038,100587716
大学城校区,406书库,406-007,100587685
大学城校区,406书库,406-015,100587693
大学城校区,406书库,406-023,100587701
大学城校区,406书库,406-031,100587709
大学城校区,406书库,406-039,100587717
