school,roomName,seatName,devSn
大学城校区,501建筑设计书库,501-180,100588121
大学城校区,501建筑设计书库,501-188,100588129
大学城校区,501建筑设计书库,501-196,100588137
大学城校区,501建筑设计书库,501-A04,101266292
大学城校区,501建筑设计书库,501-A12,101266300
大学城校区,501建筑设计书库,501-A20,101266308
大学城校区,501建筑设计书库,501-005,100587946
大学城校区,501建筑设计书库,501-013,100587954
大学城校区,501建筑设计书库,501-021,100587962
大学城校区,501建筑设计书库,501-029,100587970
大学城校区,501建筑设计书库,501-037,100587978
大学城校区,501建筑设计书库,501-045,100587986
大学城校区,501建筑设计书库,501-053,100587994
大学城校区,501建筑设计书库,501-061,100588002
大学城校区,501建筑设计书库,501-069,100588010
大学城校区,501建筑设计书库,501-077,100588018
大学城校区,501建筑设计书库,501-085,100588026
大学城校区,501建筑设计书库,501-093,100588034
大学城校区,501建筑设计书库,501-101,100588042
大学城校区,501建筑设计书库,501-109,100588050
大学城校区,501建筑设计书库,501-117,100588058
大学城校区,501建筑设计书库,501-125,100588066
大学城校区,501建筑设计书库,501-133,100588074
大学城校区,501建筑设计书库,501-141,100588082
大学城校区,501建筑设计书库,501-149,100588090
大学城校区,501建筑设计书库,501-157,100588098
大学城校区,501建筑设计书库,501-165,100588106
大学城校区,501建筑设计书库,501-173,100588114
大学城校区,501建筑设计书库,501-181,100588122
大学城校区,501建筑设计书库,501-189,100588130
大学城校区,501建筑设计书库,501-197,100588138
大学城校区,501建筑设计书库,501-A05,101266293
大学城校区,501建筑设计书库,501-A13,101266301
大学城校区,501建筑设计书库,501-A21,101266309
大学城校区,501建筑设计书库,501-006,100587947
大学城校区,501建筑设计书库,501-014,100587955
大学城校区,501建筑设计书库,501-022,100587963
大学城校区,501建筑设计书库,501-030,100587971
大学城校区,501建筑设计书库,501-038,100587979
大学城校区,501建筑设计书库,501-046,100587987
大学城校区,501建筑设计书库,501-054,100587995
大学城校区,501建筑设计书库,501-062,100588003
大学城校区,501建筑设计书库,501-070,100588011
大学城校区,501建筑设计书库,501-078,100588019
大学城校区,501建筑设计书库,501-086,100588027
大学城校区,501建筑设计书库,501-094,100588035
大学城校区,501建筑设计书库,501-102,100588043
大学城校区,501建筑设计书库,501-110,100588051
大学城校区,501建筑设计书库,501-118,100588059
大学城校区,501建筑设计书库,501-126,100588067
大学城校区,501建筑设计书库,501-134,100588075
大学城校区,501建筑设计书库,501-142,100588083
大学城校区,501建筑设计书库,501-150,100588091
大学城校区,501建筑设计书库,501-158,100588099
大学城校区,501建筑设计书库,501-166,100588107
大学城校区,501建筑设计书库,501-174,100588115
大学城校区,501建筑设计书库,501-182,100588123
大学城校区,501建筑设计书库,501-190,100588131
大学城校区,501建筑设计书库,501-198,100588139
大学城校区,501建筑设计书库,501-A06,101266294
大学城校区,501建筑设计书库,501-A14,101266302
大学城校区,501建筑设计书库,501-A22,101266310
