school,roomName,seatName,devSn
大学城校区,303书库,303-024,101267249
大学城校区,303书库,303-032,101267257
大学城校区,303书库,303-017,101267242
大学城校区,303书库,303-025,101267250
大学城校区,303书库,303-018,101267243
大学城校区,303书库,303-026,101267251
大学城校区,303书库,303-019,101267244
大学城校区,303书库,303-027,101267252
大学城校区,303书库,303-020,101267245
大学城校区,303书库,303-028,101267253
大学城校区,303书库,303-021,101267246
大学城校区,303书库,303-029,101267254
大学城校区,303书库,303-022,101267247
大学城校区,303书库,303-030,101267255
大学城校区,303书库,303-023,101267248
大学城校区,303书库,303-031,101267256
大学城校区,303书库,303-008,100587133
大学城校区,303书库,303-016,100587141
大学城校区,303书库,303-001,100587126
大学城校区,303书库,303-009,100587134
大学城校区,303书库,303-002,100587127
大学城校区,303书库,303-010,100587135
大学城校区,303书库,303-003,100587128
大学城校区,303书库,303-011,100587136
大学城校区,303书库,303-004,100587129
大学城校区,303书库,303-012,100587137
大学城校区,303书库,303-005,100587130
大学城校区,303书库,303-013,100587138
大学城校区,303书库,303-006,100587131
大学城校区,303书库,303-014,100587139
大学城校区,303书库,303-007,100587132
大学城校区,303书库,303-015,100587140
