school,roomName,seatName,devSn
大学城校区,202书库,202-068,101267651
大学城校区,202书库,202-076,101267659
大学城校区,202书库,202-084,101267667
大学城校区,202书库,202-092,101267675
大学城校区,202书库,202-069,101267652
大学城校区,202书库,202-077,101267660
大学城校区,202书库,202-085,101267668
大学城校区,202书库,202-070,101267653
大学城校区,202书库,202-078,101267661
大学城校区,202书库,202-086,101267669
大学城校区,202书库,202-071,101267654
大学城校区,202书库,202-079,101267662
大学城校区,202书库,202-087,101267670
大学城校区,202书库,202-072,101267655
大学城校区,202书库,202-080,101267663
大学城校区,202书库,202-088,101267671
大学城校区,202书库,202-065,101267648
大学城校区,202书库,202-073,101267656
大学城校区,202书库,202-081,101267664
大学城校区,202书库,202-089,101267672
大学城校区,202书库,202-066,101267649
大学城校区,202书库,202-074,101267657
大学城校区,202书库,202-082,101267665
大学城校区,202书库,202-090,101267673
大学城校区,202书库,202-067,101267650
大学城校区,202书库,202-075,101267658
大学城校区,202书库,202-083,101267666
大学城校区,202书库,202-091,101267674
大学城校区,202书库,202-008,100586802
大学城校区,202书库,202-016,100586810
大学城校区,202书库,202-024,100586818
大学城校区,202书库,202-032,100586826
大学城校区,202书库,202-040,100586834
大学城校区,202书库,202-052,100586846
大学城校区,202书库,202-060,100586854
大学城校区,202书库,202-001,100586795
大学城校区,202书库,202-009,100586803
大学城校区,202书库,202-017,100586811
大学城校区,202书库,202-025,100586819
大学城校区,202书库,202-033,100586827
大学城校区,202书库,202-041,100586835
大学城校区,202书库,202-053,100586847
大学城校区,202书库,202-061,100586855
大学城校区,202书库,202-002,100586796
大学城校区,202书库,202-010,100586804
大学城校区,202书库,202-018,100586812
大学城校区,202书库,202-026,100586820
大学城校区,202书库,202-034,100586828
大学城校区,202书库,202-042,100586836
大学城校区,202书库,202-054,100586848
大学城校区,202书库,202-062,100586856
大学城校区,202书库,202-003,100586797
大学城校区,202书库,202-011,100586805
大学城校区,202书库,202-019,100586813
大学城校区,202书库,202-027,100586821
大学城校区,202书库,202-035,100586829
大学城校区,202书库,202-043,100586837
大学城校区,202书库,202-055,100586849
大学城校区,202书库,202-063,100586857
大学城校区,202书库,202-004,100586798
大学城校区,202书库,202-012,100586806
大学城校区,202书库,202-020,100586814
大学城校区,202书库,202-028,100586822
大学城校区,202书库,202-036,100586830
大学城校区,202书库,202-044,100586838
大学城校区,202书库,202-056,100586850
大学城校区,202书库,202-064,100586858
大学城校区,202书库,202-005,100586799
大学城校区,202书库,202-013,100586807
大学城校区,202书库,202-021,100586815
大学城校区,202书库,202-029,100586823
大学城校区,202书库,202-037,100586831
大学城校区,202书库,202-046,100586840
大学城校区,202书库,202-057,100586851
大学城校区,202书库,202-006,100586800
大学城校区,202书库,202-014,100586808
大学城校区,202书库,202-022,100586816
大学城校区,202书库,202-030,100586824
大学城校区,202书库,202-038,100586832
大学城校区,202书库,202-047,100586841
大学城校区,202书库,202-058,100586852
大学城校区,202书库,202-007,100586801
大学城校区,202书库,202-015,100586809
大学城校区,202书库,202-023,100586817
大学城校区,202书库,202-031,100586825
大学城校区,202书库,202-039,100586833
大学城校区,202书库,202-049,100586843
大学城校区,202书库,202-059,100586853
