school,roomName,seatName,devSn
大学城校区,205书库,205-040,101267567
大学城校区,205书库,205-048,101267575
大学城校区,205书库,205-056,101267583
大学城校区,205书库,205-064,101267591
大学城校区,205书库,205-072,101267599
大学城校区,205书库,205-033,101267560
大学城校区,205书库,205-041,101267568
大学城校区,205书库,205-049,101267576
大学城校区,205书库,205-057,101267584
大学城校区,205书库,205-065,101267592
大学城校区,205书库,205-073,101267600
大学城校区,205书库,205-034,101267561
大学城校区,205书库,205-042,101267569
大学城校区,205书库,205-050,101267577
大学城校区,205书库,205-058,101267585
大学城校区,205书库,205-066,101267593
大学城校区,205书库,205-074,101267601
大学城校区,205书库,205-035,101267562
大学城校区,205书库,205-043,101267570
大学城校区,205书库,205-051,101267578
大学城校区,205书库,205-059,101267586
大学城校区,205书库,205-067,101267594
大学城校区,205书库,205-075,101267602
大学城校区,205书库,205-036,101267563
大学城校区,205书库,205-044,101267571
大学城校区,205书库,205-052,101267579
大学城校区,205书库,205-060,101267587
大学城校区,205书库,205-068,101267595
大学城校区,205书库,205-076,101267603
大学城校区,205书库,205-037,101267564
大学城校区,205书库,205-045,101267572
大学城校区,205书库,205-053,101267580
大学城校区,205书库,205-061,101267588
大学城校区,205书库,205-069,101267596
大学城校区,205书库,205-038,101267565
大学城校区,205书库,205-046,101267573
大学城校区,205书库,205-054,101267581
大学城校区,205书库,205-062,101267589
大学城校区,205书库,205-070,101267597
大学城校区,205书库,205-039,101267566
大学城校区,205书库,205-047,101267574
大学城校区,205书库,205-055,101267582
大学城校区,205书库,205-063,101267590
大学城校区,205书库,205-071,101267598
大学城校区,205书库,205-008,100586950
大学城校区,205书库,205-016,100586958
大学城校区,205书库,205-024,100586966
大学城校区,205书库,205-032,100586974
大学城校区,205书库,205-001,100586943
大学城校区,205书库,205-009,100586951
大学城校区,205书库,205-017,100586959
大学城校区,205书库,205-025,100586967
大学城校区,205书库,205-002,100586944
大学城校区,205书库,205-010,100586952
大学城校区,205书库,205-018,100586960
大学城校区,205书库,205-026,100586968
大学城校区,205书库,205-003,100586945
大学城校区,205书库,205-011,100586953
大学城校区,205书库,205-019,100586961
大学城校区,205书库,205-027,100586969
大学城校区,205书库,205-004,100586946
大学城校区,205书库,205-012,100586954
大学城校区,205书库,205-020,100586962
大学城校区,205书库,205-028,100586970
大学城校区,205书库,205-005,100586947
大学城校区,205书库,205-013,100586955
大学城校区,205书库,205-021,100586963
大学城校区,205书库,205-029,100586971
大学城校区,205书库,205-006,100586948
大学城校区,205书库,205-014,100586956
大学城校区,205书库,205-022,100586964
大学城校区,205书库,205-030,100586972
大学城校区,205书库,205-007,100586949
大学城校区,205书库,205-015,100586957
大学城校区,205书库,205-023,100586965
大学城校区,205书库,205-031,100586973
