school,roomName,seatName,devSn
大学城校区,301书库,301-072,101267607
大学城校区,301书库,301-080,101267615
大学城校区,301书库,301-088,101267623
大学城校区,301书库,301-096,101267631
大学城校区,301书库,301-104,101267639
大学城校区,301书库,301-112,101267647
大学城校区,301书库,301-073,101267608
大学城校区,301书库,301-081,101267616
大学城校区,301书库,301-089,101267624
大学城校区,301书库,301-097,101267632
大学城校区,301书库,301-105,101267640
大学城校区,301书库,301-074,101267609
大学城校区,301书库,301-082,101267617
大学城校区,301书库,301-090,101267625
大学城校区,301书库,301-098,101267633
大学城校区,301书库,301-106,101267641
大学城校区,301书库,301-075,101267610
大学城校区,301书库,301-083,101267618
大学城校区,301书库,301-091,101267626
大学城校区,301书库,301-099,101267634
大学城校区,301书库,301-107,101267642
大学城校区,301书库,301-076,101267611
大学城校区,301书库,301-084,101267619
大学城校区,301书库,301-092,101267627
大学城校区,301书库,301-100,101267635
大学城校区,301书库,301-108,101267643
大学城校区,301书库,301-069,101267604
大学城校区,301书库,301-077,101267612
大学城校区,301书库,301-085,101267620
大学城校区,301书库,301-093,101267628
大学城校区,301书库,301-101,101267636
大学城校区,301书库,301-109,101267644
大学城校区,301书库,301-070,101267605
大学城校区,301书库,301-078,101267613
大学城校区,301书库,301-086,101267621
大学城校区,301书库,301-094,101267629
大学城校区,301书库,301-102,101267637
大学城校区,301书库,301-110,101267645
大学城校区,301书库,301-071,101267606
大学城校区,301书库,301-079,101267614
大学城校区,301书库,301-087,101267622
大学城校区,301书库,301-095,101267630
大学城校区,301书库,301-103,101267638
大学城校区,301书库,301-111,101267646
大学城校区,301书库,301-008,100587065
大学城校区,301书库,301-016,100587073
大学城校区,301书库,301-024,100587081
大学城校区,301书库,301-032,100587089
大学城校区,301书库,301-040,100587097
大学城校区,301书库,301-048,100587105
大学城校区,301书库,301-056,100587113
大学城校区,301书库,301-064,100587121
大学城校区,301书库,301-001,100587058
大学城校区,301书库,301-009,100587066
大学城校区,301书库,301-017,100587074
大学城校区,301书库,301-025,100587082
大学城校区,301书库,301-033,100587090
大学城校区,301书库,301-041,100587098
大学城校区,301书库,301-049,100587106
大学城校区,301书库,301-057,100587114
大学城校区,301书库,301-065,100587122
大学城校区,301书库,301-002,100587059
大学城校区,301书库,301-010,100587067
大学城校区,301书库,301-018,100587075
大学城校区,301书库,301-026,100587083
大学城校区,301书库,301-034,100587091
大学城校区,301书库,301-042,100587099
大学城校区,301书库,301-050,100587107
大学城校区,301书库,301-058,100587115
大学城校区,301书库,301-066,100587123
大学城校区,301书库,301-003,100587060
大学城校区,301书库,301-011,100587068
大学城校区,301书库,301-019,100587076
大学城校区,301书库,301-027,100587084
大学城校区,301书库,301-035,100587092
大学城校区,301书库,301-043,100587100
大学城校区,301书库,301-051,100587108
大学城校区,301书库,301-059,100587116
大学城校区,301书库,301-067,100587124
大学城校区,301书库,301-004,100587061
大学城校区,301书库,301-012,100587069
大学城校区,301书库,301-020,100587077
大学城校区,301书库,301-028,100587085
大学城校区,301书库,301-036,100587093
大学城校区,301书库,301-044,100587101
大学城校区,301书库,301-052,100587109
大学城校区,301书库,301-060,100587117
大学城校区,301书库,301-068,100587125
大学城校区,301书库,301-005,100587062
大学城校区,301书库,301-013,100587070
大学城校区,301书库,301-021,100587078
大学城校区,301书库,301-029,100587086
大学城校区,301书库,301-037,100587094
大学城校区,301书库,301-045,100587102
大学城校区,301书库,301-053,100587110
大学城校区,301书库,301-061,100587118
大学城校区,301书库,301-006,100587063
大学城校区,301书库,301-014,100587071
大学城校区,301书库,301-022,100587079
大学城校区,301书库,301-030,100587087
大学城校区,301书库,301-038,100587095
大学城校区,301书库,301-046,100587103
大学城校区,301书库,301-054,100587111
大学城校区,301书库,301-062,100587119
大学城校区,301书库,301-007,100587064
大学城校区,301书库,301-015,100587072
大学城校区,301书库,301-023,100587080
大学城校区,301书库,301-031,100587088
大学城校区,301书库,301-039,100587096
大学城校区,301书库,301-047,100587104
大学城校区,301书库,301-055,100587112
大学城校区,301书库,301-063,100587120
