school,roomName,seatName,devSn
大学城校区,204书库,204-040,101267241
大学城校区,204书库,204-041,101267680
大学城校区,204书库,204-042,101267681
大学城校区,204书库,204-043,101267682
大学城校区,204书库,204-044,101267683
大学城校区,204书库,204-037,101267238
大学城校区,204书库,204-038,101267239
大学城校区,204书库,204-039,101267240
大学城校区,204书库,204-008,100586906
大学城校区,204书库,204-016,100586914
大学城校区,204书库,204-024,100586922
大学城校区,204书库,204-032,100586930
大学城校区,204书库,204-001,100586899
大学城校区,204书库,204-009,100586907
大学城校区,204书库,204-017,100586915
大学城校区,204书库,204-025,100586923
大学城校区,204书库,204-033,100586931
大学城校区,204书库,204-002,100586900
大学城校区,204书库,204-010,100586908
大学城校区,204书库,204-018,100586916
大学城校区,204书库,204-026,100586924
大学城校区,204书库,204-034,100586932
大学城校区,204书库,204-003,100586901
大学城校区,204书库,204-011,100586909
大学城校区,204书库,204-019,100586917
大学城校区,204书库,204-027,100586925
大学城校区,204书库,204-035,100586933
大学城校区,204书库,204-004,100586902
大学城校区,204书库,204-012,100586910
大学城校区,204书库,204-020,100586918
大学城校区,204书库,204-028,100586926
大学城校区,204书库,204-036,100586934
大学城校区,204书库,204-005,100586903
大学城校区,204书库,204-013,100586911
大学城校区,204书库,204-021,100586919
大学城校区,204书库,204-029,100586927
大学城校区,204书库,204-006,100586904
大学城校区,204书库,204-014,100586912
大学城校区,204书库,204-022,100586920
大学城校区,204书库,204-030,100586928
大学城校区,204书库,204-007,100586905
大学城校区,204书库,204-015,100586913
大学城校区,204书库,204-023,100586921
大学城校区,204书库,204-031,100586929
