school,roomName,seatName,devSn
大学城校区,206书库,206-080,101267691
大学城校区,206书库,206-088,101267699
大学城校区,206书库,206-096,101267707
大学城校区,206书库,206-104,101267715
大学城校区,206书库,206-112,101267723
大学城校区,206书库,206-120,101267731
大学城校区,206书库,206-128,101267739
大学城校区,206书库,206-073,101267684
大学城校区,206书库,206-081,101267692
大学城校区,206书库,206-089,101267700
大学城校区,206书库,206-097,101267708
大学城校区,206书库,206-105,101267716
大学城校区,206书库,206-113,101267724
大学城校区,206书库,206-121,101267732
大学城校区,206书库,206-129,101267740
大学城校区,206书库,206-074,101267685
大学城校区,206书库,206-082,101267693
大学城校区,206书库,206-090,101267701
大学城校区,206书库,206-098,101267709
大学城校区,206书库,206-106,101267717
大学城校区,206书库,206-114,101267725
大学城校区,206书库,206-122,101267733
大学城校区,206书库,206-130,101267741
大学城校区,206书库,206-075,101267686
大学城校区,206书库,206-083,101267694
大学城校区,206书库,206-091,101267702
大学城校区,206书库,206-099,101267710
大学城校区,206书库,206-107,101267718
大学城校区,206书库,206-115,101267726
大学城校区,206书库,206-123,101267734
大学城校区,206书库,206-131,101267742
大学城校区,206书库,206-076,101267687
大学城校区,206书库,206-084,101267695
大学城校区,206书库,206-092,101267703
大学城校区,206书库,206-100,101267711
大学城校区,206书库,206-108,101267719
大学城校区,206书库,206-116,101267727
大学城校区,206书库,206-124,101267735
大学城校区,206书库,206-132,101267743
大学城校区,206书库,206-077,101267688
大学城校区,206书库,206-085,101267696
大学城校区,206书库,206-093,101267704
大学城校区,206书库,206-101,101267712
大学城校区,206书库,206-109,101267720
大学城校区,206书库,206-117,101267728
大学城校区,206书库,206-125,101267736
大学城校区,206书库,206-078,101267689
大学城校区,206书库,206-086,101267697
大学城校区,206书库,206-094,101267705
大学城校区,206书库,206-102,101267713
大学城校区,206书库,206-110,101267721
大学城校区,206书库,206-118,101267729
大学城校区,206书库,206-126,101267737
大学城校区,206书库,206-079,101267690
大学城校区,206书库,206-087,101267698
大学城校区,206书库,206-095,101267706
大学城校区,206书库,206-103,101267714
大学城校区,206书库,206-111,101267722
大学城校区,206书库,206-119,101267730
大学城校区,206书库,206-127,101267738
大学城校区,206书库,206-008,100586982
大学城校区,206书库,206-016,100586990
大学城校区,206书库,206-024,100586998
大学城校区,206书库,206-032,100587006
大学城校区,206书库,206-040,100587014
大学城校区,206书库,206-048,100587022
大学城校区,206书库,206-056,100587030
大学城校区,206书库,206-064,100587038
大学城校区,206书库,206-072,100587046
大学城校区,206书库,206-001,100586975
大学城校区,206书库,206-009,100586983
大学城校区,206书库,206-017,100586991
大学城校区,206书库,206-025,100586999
大学城校区,206书库,206-033,100587007
大学城校区,206书库,206-041,100587015
大学城校区,206书库,206-049,100587023
大学城校区,206书库,206-057,100587031
大学城校区,206书库,206-065,100587039
大学城校区,206书库,206-002,100586976
大学城校区,206书库,206-010,100586984
大学城校区,206书库,206-018,100586992
大学城校区,206书库,206-026,100587000
大学城校区,206书库,206-034,100587008
大学城校区,206书库,206-042,100587016
大学城校区,206书库,206-050,100587024
大学城校区,206书库,206-058,100587032
大学城校区,206书库,206-066,100587040
大学城校区,206书库,206-003,100586977
大学城校区,206书库,206-011,100586985
大学城校区,206书库,206-019,100586993
大学城校区,206书库,206-027,100587001
大学城校区,206书库,206-035,100587009
大学城校区,206书库,206-043,100587017
大学城校区,206书库,206-051,100587025
大学城校区,206书库,206-059,100587033
大学城校区,206书库,206-067,100587041
大学城校区,206书库,206-004,100586978
大学城校区,206书库,206-012,100586986
大学城校区,206书库,206-020,100586994
大学城校区,206书库,206-028,100587002
大学城校区,206书库,206-036,100587010
大学城校区,206书库,206-044,100587018
大学城校区,206书库,206-052,100587026
大学城校区,206书库,206-060,100587034
大学城校区,206书库,206-068,100587042
大学城校区,206书库,206-005,100586979
大学城校区,206书库,206-013,100586987
大学城校区,206书库,206-021,100586995
大学城校区,206书库,206-029,100587003
大学城校区,206书库,206-037,100587011
大学城校区,206书库,206-045,100587019
大学城校区,206书库,206-053,100587027
大学城校区,206书库,206-061,100587035
大学城校区,206书库,206-069,100587043
大学城校区,206书库,206-006,100586980
大学城校区,206书库,206-014,100586988
大学城校区,206书库,206-022,100586996
大学城校区,206书库,206-030,100587004
大学城校区,206书库,206-038,100587012
大学城校区,206书库,206-046,100587020
大学城校区,206书库,206-054,100587028
大学城校区,206书库,206-062,100587036
大学城校区,206书库,206-070,100587044
大学城校区,206书库,206-007,100586981
大学城校区,206书库,206-015,100586989
大学城校区,206书库,206-023,100586997
大学城校区,206书库,206-031,100587005
大学城校区,206书库,206-039,100587013
大学城校区,206书库,206-047,100587021
大学城校区,206书库,206-055,100587029
大学城校区,206书库,206-063,100587037
大学城校区,206书库,206-071,100587045
